Fossil,Fossil_number,Fossil_node
Melqartitermes myrrheus,1,231
Cosmotermes multus,2,457
Proelectrotermes swinhoei,3,233
Nanotermes isaacae,4,237
Huguenotermes septimaniensis,5,334
Reticulitermes antiquus,6,276
Dolichorhinotermes dominicanus,7,285
Coptotermes sucineus,8,277
Macrotermes pristinus,9,272
Calcaritermes vetus,10,290
Constrictotermes electroconstrictus,11,261
Anoplotermes sensu lato,12,267
Microcerotermes insularis,13,253
Amitermes lucidus,14,245
Glyptotermes grimaldii,15,291
