172	10 (Afr Ori Aus Neot Oce Mad Sah Nea Sin Pal)
Cam16-40_Glyptotermes_sp.	1000000000
KE15-168_Glyptotermes_brevicaudatus	1000000000
RDCT163_Glyptotermes_sp.	1000000000
Cam16-42_Glyptotermes_sp.	1000000000
Cam17-PG-1-TA_Glyptotermes_sp.	1000000000
KE15-10_Neotermes_cf.meruensis	1000000000
KE15-30_Bifiditermes_mutubae	1000000000
CAM16-31_Roisinitermes_ebogoensis	1000000000
B-Rept_Bifiditermes_rogeriae	1000000000
NAM16_PG037TR_Epicalotermes_sp.	1000000000
KE15-138_Epicalotermes_aethiopicus	1000000000
NAM16_PG012TR_Epicalotermes_sp.	1000000000
CAM101_Cryptotermes_havilandi	1000000000
Cam16-41_Cryptotermes_havilandi	1000000000
KP026301_Glyptotermes_sp.	0100000000
phi38_Glyptotermes_sp.	0100000000
phi37_Glyptotermes_sp.	0100000000
phi49_Glyptotermes_sp.	0100000000
CHI15-117_Glyptotermes_sp.	0100000000
CHI15-24_Glyptotermes_sp.	0100000000
CHI15-66_Glyptotermes_sp.	0100000000
THAI112_Glyptotermes_sp.	0100000000
KP026300_Glyptotermes_sp.	0100000000
CHI15-75_Glyptotermes_sp.	0100000000
CHI15-80_Glyptotermes_sp.	0100000000
THAI031_Glyptotermes_sp.	0100000000
THAI114_Glyptotermes_sp.	0100000000
CHI15-157_Glyptotermes_sp.	0100000000
THAI108_Glyptotermes_sp.	0100000000
CHI15-85_Glyptotermes_sp.	0100000000
CHI15-87_Glyptotermes_sp.	0100000000
CHI15-14_Neotermes_sp.	0100000000
SING74_Neotermes_sp.	0100000000
phi47_Neotermes_sp.	0100000000
phi10_Neotermes_sp.	0100000000
phi12_Neotermes_sp.	0100000000
phi17-2_Neotermes_sp.	0100000000
phi6_Neotermes_sp.	0100000000
phi81_Neotermes_sp.	0100000000
phi86_Neotermes_sp.	0100000000
phi76_Neotermes_sp.	0100000000
phi72-2_Neotermes_sp.	0100000000
phi73_Neotermes_sp.	0100000000
