node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
173	 AUS101_Glyptotermes_nr.irridipenis 	 AUS109_Glyptotermes_sp. 	0	0	99.99	0	0	0	0	0	0	0
174	 AUS101_Glyptotermes_nr.irridipenis 	 KP026257_Glyptotermes_satsumensis 	0.07	51.94	43.59	0.22	0.02	0.05	0	0.18	3.91	0
175	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
176	 AUS101_Glyptotermes_nr.irridipenis 	 CHI15-80_Glyptotermes_sp. 	0	99.92	0.07	0	0	0	0	0	0	0
177	 AUS101_Glyptotermes_nr.irridipenis 	 KP026300_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
178	 CHI15-117_Glyptotermes_sp. 	 CHI15-24_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
179	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
180	 CHI15-117_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
181	 AUS101_Glyptotermes_nr.irridipenis 	 THAI112_Glyptotermes_sp. 	0	99.99	0	0.01	0	0	0	0	0	0
182	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
183	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
184	 Cam16-42_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
185	 Cam16-40_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	99.95	0	0	0.05	0	0	0	0	0	0
186	 Cam16-40_Glyptotermes_sp. 	 FG-ND2-12_Glyptotermes_sp. 	8.75	3.4	0.09	87.73	0	0.01	0	0.03	0	0
187	 AUS101_Glyptotermes_nr.irridipenis 	 FG-ND2-12_Glyptotermes_sp. 	0.31	85.54	0.06	14.06	0	0.01	0	0.02	0	0
188	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
189	 CHI15-85_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
190	 CHI15-157_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
191	 CHI15-157_Glyptotermes_sp. 	 THAI114_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
192	 phi38_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
193	 phi37_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
194	 KP026301_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
195	 Glypto1_Glyptotermes_fuscus 	 phi49_Glyptotermes_sp. 	0	99.91	0.01	0.01	0	0	0	0	0.06	0
196	 NG21_Glyptotermes_sp. 	 SantoT_089_Glyptotermes_sp. 	0	0.13	0	0	99.87	0	0	0	0	0
197	 Glypto1_Glyptotermes_fuscus 	 SantoT_089_Glyptotermes_sp. 	0	99.63	0.03	0.02	0.3	0	0	0.01	0.01	0
198	 Glypto1_Glyptotermes_fuscus 	 THAI031_Glyptotermes_sp. 	0	99.98	0	0.01	0	0	0	0	0	0
199	 CHI15-157_Glyptotermes_sp. 	 THAI031_Glyptotermes_sp. 	0	99.97	0	0.02	0	0	0	0	0	0
200	 AUS101_Glyptotermes_nr.irridipenis 	 THAI031_Glyptotermes_sp. 	0.04	86.24	0.03	13.68	0	0	0	0.01	0	0
201	 FG17-12_Glyptotermes_perparvus 	 GP17-04_Glyptotermes_sp. 	0	0	0	100	0	0	0	0	0	0
202	 COL15-20_Glyptotermes_sp. 	 GP17-04_Glyptotermes_sp. 	0	0	0	100	0	0	0	0	0	0
203	 COL15-20_Glyptotermes_sp. 	 KP026263_Glyptotermes_sp. 	0	0	0	100	0	0	0	0	0	0
204	 AUS101_Glyptotermes_nr.irridipenis 	 KP026263_Glyptotermes_sp. 	0	0.55	0.01	99.44	0	0	0	0	0	0
205	 HN251_0_Calcaritermes_emarginicollis 	 PN959_0_Calcaritermes_brevicollis 	0	0	0	100	0	0	0	0	0	0
206	 FL4667_0_Calcaritermes_nearcticus 	 PN959_0_Calcaritermes_brevicollis 	0	0	0.02	99.78	0	0	0	0.2	0	0
207	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 PN959_0_Calcaritermes_brevicollis 	0	0	0	100	0	0	0	0	0	0
208	 FG17-7_Calcaritermes_sp. 	 G13-135_Calcaritermes_sp. 	0	0	0	100	0	0	0	0	0	0
209	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 G13-135_Calcaritermes_sp. 	0	0	0	100	0	0	0	0	0	0
210	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 PN1380_0_Calcaritermes_nigriceps 	0	0	0	100	0	0	0	0	0	0
211	 COL17-26_UNIDENTIFIED_UNIDENTIFIED 	 PN1380_0_Calcaritermes_nigriceps 	0	0	0	100	0	0	0	0	0	0
212	 AUS101_Glyptotermes_nr.irridipenis 	 PN1380_0_Calcaritermes_nigriceps 	0	0	0	100	0	0	0	0	0	0
213	 AUS110_Cryptotermes_sp. 	 AUS117_Cryptotermes_n.sp. 	0	0	100	0	0	0	0	0	0	0
214	 AUS110_Cryptotermes_sp. 	 CRYPRIMUS_Cryptotermes_primus 	0	0	100	0	0	0	0	0	0	0
215	 CRYAUS_Cryptotermes_austrinus 	 CRYQUEEN_Cryptotermes_queenslandicus 	0	0	100	0	0	0	0	0	0	0
216	 AUS110_Cryptotermes_sp. 	 CRYQUEEN_Cryptotermes_queenslandicus 	0	0	100	0	0	0	0	0	0	0
217	 AUS110_Cryptotermes_sp. 	 SantoT_003_Cryptotermes_penaoru 	0.02	1.25	94.96	0.11	3.61	0.01	0	0.04	0	0
218	 CAM101_Cryptotermes_havilandi 	 Cam16-41_Cryptotermes_havilandi 	99.99	0	0	0.01	0	0	0	0	0	0
219	 CAM101_Cryptotermes_havilandi 	 PU736_0_Cryptotermes_havilandi 	41.61	0.99	2.63	52.03	0.06	2.47	0	0.2	0.01	0
220	 CAM101_Cryptotermes_havilandi 	 MAD15-40_Cryptotermes_havilandi 	3.27	22.23	14.89	7.69	1.21	50.49	0	0.2	0.01	0
221	 CRYDOMESTI_Cryptotermes_domesticus 	 MAL39_Cryptotermes_domesticus 	0.04	84.17	15.69	0.05	0.01	0.02	0	0.02	0	0
222	 CAM101_Cryptotermes_havilandi 	 MAL39_Cryptotermes_domesticus 	0.07	87.02	12.27	0.19	0.09	0.32	0	0.03	0	0
223	 CAM101_Cryptotermes_havilandi 	 MAL36_Cryptotermes_sp. 	0.01	96.56	3.39	0.02	0.01	0.01	0	0.01	0	0
224	 CC_Cryptotermes_cynocephalus 	 phi18_Cryptotermes_sp. 	0.01	84.7	15.24	0.02	0	0.01	0	0.02	0	0
225	 CAM101_Cryptotermes_havilandi 	 phi18_Cryptotermes_sp. 	0.01	85.28	14.64	0.04	0.01	0.01	0	0.01	0	0
226	 AUS110_Cryptotermes_sp. 	 phi18_Cryptotermes_sp. 	0.03	26.6	71.74	0.96	0.51	0.08	0	0.08	0	0
227	 phi64_Cryptotermes_sp. 	 phi94_Cryptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
228	 CRYDRUDDLE_Cryptotermes_dudleyi 	 phi94_Cryptotermes_sp. 	0	99.45	0.54	0	0	0	0	0	0	0
229	 phi59_Cryptotermes_sp. 	 phi78_Cryptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
230	 phi30_Cryptotermes_sp. 	 phi78_Cryptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
231	 phi30_Cryptotermes_sp. 	 phi45_Cryptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
232	 CRYDRUDDLE_Cryptotermes_dudleyi 	 phi45_Cryptotermes_sp. 	0	99.98	0.02	0	0	0	0	0	0	0
233	 CRYDRUDDLE_Cryptotermes_dudleyi 	 phi54_Cryptotermes_sp. 	0	99.95	0.05	0	0	0	0	0	0	0
