node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
173 	 AUS101_Glyptotermes_nr.irridipenis 	 AUS109_Glyptotermes_sp. 	 0.00 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
174 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026257_Glyptotermes_satsumensis 	 0.06 	 36.37 	 59.70 	 0.21 	 0.02 	 0.06 	 0.00 	 0.15 	 3.44 	 0.00
175 	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
176 	 AUS101_Glyptotermes_nr.irridipenis 	 CHI15-80_Glyptotermes_sp. 	 0.00 	 99.75 	 0.22 	 0.01 	 0.00 	 0.00 	 0.00 	 0.01 	 0.01 	 0.00
177 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026300_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
178 	 CHI15-117_Glyptotermes_sp. 	 CHI15-24_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
179 	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
180 	 CHI15-117_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
181 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI112_Glyptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
182 	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
183 	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
184 	 Cam16-42_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
185 	 Cam16-40_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 99.96 	 0.00 	 0.00 	 0.03 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
186 	 Cam16-40_Glyptotermes_sp. 	 FG-ND2-12_Glyptotermes_sp. 	 12.55 	 10.83 	 0.11 	 76.45 	 0.00 	 0.01 	 0.00 	 0.04 	 0.00 	 0.00
187 	 AUS101_Glyptotermes_nr.irridipenis 	 FG-ND2-12_Glyptotermes_sp. 	 0.21 	 90.89 	 0.04 	 8.83 	 0.00 	 0.01 	 0.00 	 0.02 	 0.00 	 0.00
188 	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
189 	 CHI15-85_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
190 	 CHI15-157_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
191 	 CHI15-157_Glyptotermes_sp. 	 THAI114_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
192 	 phi38_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
193 	 phi37_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
194 	 KP026301_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
195 	 Glypto1_Glyptotermes_fuscus 	 phi49_Glyptotermes_sp. 	 0.00 	 99.91 	 0.01 	 0.01 	 0.01 	 0.00 	 0.00 	 0.00 	 0.06 	 0.00
196 	 NG21_Glyptotermes_sp. 	 SantoT_089_Glyptotermes_sp. 	 0.00 	 0.06 	 0.00 	 0.00 	 99.94 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
197 	 Glypto1_Glyptotermes_fuscus 	 SantoT_089_Glyptotermes_sp. 	 0.01 	 99.37 	 0.04 	 0.03 	 0.52 	 0.01 	 0.00 	 0.02 	 0.02 	 0.00
198 	 Glypto1_Glyptotermes_fuscus 	 THAI031_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
199 	 CHI15-157_Glyptotermes_sp. 	 THAI031_Glyptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
200 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI031_Glyptotermes_sp. 	 0.01 	 93.39 	 0.01 	 6.58 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
201 	 FG17-12_Glyptotermes_perparvus 	 GP17-04_Glyptotermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
202 	 COL15-20_Glyptotermes_sp. 	 GP17-04_Glyptotermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
203 	 COL15-20_Glyptotermes_sp. 	 KP026263_Glyptotermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
204 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026263_Glyptotermes_sp. 	 0.00 	 0.75 	 0.01 	 99.24 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
205 	 HN251_0_Calcaritermes_emarginicollis 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
206 	 FL4667_0_Calcaritermes_nearcticus 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.01 	 99.30 	 0.00 	 0.00 	 0.00 	 0.68 	 0.00 	 0.00
207 	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
208 	 FG17-7_Calcaritermes_sp. 	 G13-135_Calcaritermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
209 	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 G13-135_Calcaritermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
210 	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 PN1380_0_Calcaritermes_nigriceps 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
211 	 COL17-26_UNIDENTIFIED_UNIDENTIFIED 	 PN1380_0_Calcaritermes_nigriceps 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
212 	 AUS101_Glyptotermes_nr.irridipenis 	 PN1380_0_Calcaritermes_nigriceps 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
213 	 AUS110_Cryptotermes_sp. 	 AUS117_Cryptotermes_n.sp. 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
214 	 AUS110_Cryptotermes_sp. 	 CRYPRIMUS_Cryptotermes_primus 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
