node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
173 	 AUS101_Glyptotermes_nr.irridipenis 	 AUS109_Glyptotermes_sp. 	 0.00 	 0.13 	 99.82 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.02 	 0.00
174 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026257_Glyptotermes_satsumensis 	 0.25 	 59.18 	 15.61 	 0.23 	 0.23 	 0.23 	 0.23 	 0.26 	 23.57 	 0.23
175 	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	 0.00 	 99.98 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
176 	 AUS101_Glyptotermes_nr.irridipenis 	 CHI15-80_Glyptotermes_sp. 	 0.02 	 99.61 	 0.12 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.18 	 0.01
177 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026300_Glyptotermes_sp. 	 0.02 	 99.95 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
178 	 CHI15-117_Glyptotermes_sp. 	 CHI15-24_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
179 	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
180 	 CHI15-117_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
181 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI112_Glyptotermes_sp. 	 0.10 	 99.68 	 0.01 	 0.14 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
182 	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
183 	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	 99.97 	 0.00 	 0.00 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
184 	 Cam16-42_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 99.97 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
185 	 Cam16-40_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 99.53 	 0.07 	 0.02 	 0.25 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02
186 	 Cam16-40_Glyptotermes_sp. 	 FG-ND2-12_Glyptotermes_sp. 	 17.23 	 11.16 	 0.59 	 68.85 	 0.36 	 0.36 	 0.36 	 0.36 	 0.36 	 0.35
187 	 AUS101_Glyptotermes_nr.irridipenis 	 FG-ND2-12_Glyptotermes_sp. 	 2.15 	 71.77 	 0.26 	 24.40 	 0.24 	 0.24 	 0.24 	 0.24 	 0.25 	 0.24
188 	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
189 	 CHI15-85_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
190 	 CHI15-157_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
191 	 CHI15-157_Glyptotermes_sp. 	 THAI114_Glyptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
192 	 phi38_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
193 	 phi37_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
194 	 KP026301_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
195 	 Glypto1_Glyptotermes_fuscus 	 phi49_Glyptotermes_sp. 	 0.05 	 98.15 	 0.04 	 0.04 	 0.15 	 0.04 	 0.04 	 0.04 	 1.41 	 0.04
196 	 NG21_Glyptotermes_sp. 	 SantoT_089_Glyptotermes_sp. 	 0.01 	 1.19 	 0.01 	 0.01 	 98.74 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
197 	 Glypto1_Glyptotermes_fuscus 	 SantoT_089_Glyptotermes_sp. 	 0.05 	 97.93 	 0.04 	 0.07 	 1.44 	 0.04 	 0.04 	 0.04 	 0.31 	 0.04
198 	 Glypto1_Glyptotermes_fuscus 	 THAI031_Glyptotermes_sp. 	 0.01 	 99.92 	 0.00 	 0.02 	 0.02 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
199 	 CHI15-157_Glyptotermes_sp. 	 THAI031_Glyptotermes_sp. 	 0.02 	 99.59 	 0.01 	 0.32 	 0.02 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
200 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI031_Glyptotermes_sp. 	 0.38 	 57.19 	 0.11 	 41.74 	 0.10 	 0.09 	 0.09 	 0.09 	 0.10 	 0.09
201 	 FG17-12_Glyptotermes_perparvus 	 GP17-04_Glyptotermes_sp. 	 0.00 	 0.00 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
202 	 COL15-20_Glyptotermes_sp. 	 GP17-04_Glyptotermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
203 	 COL15-20_Glyptotermes_sp. 	 KP026263_Glyptotermes_sp. 	 0.00 	 0.00 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
204 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026263_Glyptotermes_sp. 	 0.01 	 0.16 	 0.02 	 99.76 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
205 	 HN251_0_Calcaritermes_emarginicollis 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
206 	 FL4667_0_Calcaritermes_nearcticus 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 99.91 	 0.00 	 0.00 	 0.00 	 0.06 	 0.00 	 0.00
207 	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
208 	 FG17-7_Calcaritermes_sp. 	 G13-135_Calcaritermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
209 	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 G13-135_Calcaritermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
