node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
173	 AUS101_Glyptotermes_nr.irridipenis 	 AUS109_Glyptotermes_sp. 	0	0.41	99.59	0	0	0	0	0	0	0
174	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
175	 AUS101_Glyptotermes_nr.irridipenis 	 CHI15-80_Glyptotermes_sp. 	0	99.1	0.9	0	0	0	0	0	0	0
176	 AUS101_Glyptotermes_nr.irridipenis 	 KP026257_Glyptotermes_satsumensis 	0	99.71	0.2	0.01	0	0	0	0.01	0.06	0
177	 AUS101_Glyptotermes_nr.irridipenis 	 KP026300_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
178	 CHI15-117_Glyptotermes_sp. 	 CHI15-24_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
179	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
180	 CHI15-117_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
181	 AUS101_Glyptotermes_nr.irridipenis 	 THAI112_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
182	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
183	 CHI15-85_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
184	 CHI15-157_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
185	 CHI15-157_Glyptotermes_sp. 	 THAI114_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
186	 CHI15-157_Glyptotermes_sp. 	 THAI031_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
187	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
188	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
189	 Cam16-42_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
190	 Cam16-40_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
191	 Cam16-40_Glyptotermes_sp. 	 FG-ND2-12_Glyptotermes_sp. 	44.52	24.52	0.29	30.56	0.01	0.02	0	0.07	0	0
