node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
173	 ISR4_Longicaputermes_sinaicus 	 ISR6_Longicaputermes_sinaicus 	0	0	0	0	0	0	100	0	0	0
174	 ISR10_Longicaputermes_sinaicus 	 ISR6_Longicaputermes_sinaicus 	0	0	0	0	0	0	100	0	0	0
175	 ISR9_Longicaputermes_sinaicus 	 ISR11_Longicaputermes_sinaicus 	0	0	0	0	0	0	100	0	0	0
176	 ISR5_Longicaputermes_sinaicus 	 ISR11_Longicaputermes_sinaicus 	0	0	0	0	0	0	100	0	0	0
177	 ISR10_Longicaputermes_sinaicus 	 ISR11_Longicaputermes_sinaicus 	0	0	0	0	0	0	100	0	0	0
178	 IRAN4A_UNIDENTIFIED_UNIDENTIFIED 	 ISR11_Longicaputermes_sinaicus 	0	0	0	0	0	0	100	0	0	0
179	 KF_Kalotermes_flavicollis 	 FL901_0_Kalotermes_approximatus 	0.18	0.23	21.14	1.61	0.05	0.13	0.02	59.83	0.02	16.78
180	 AUS89_Kalotermes_sp. 	 20140314-5_Kalotermes_hilli 	0	0	100	0	0	0	0	0	0	0
181	 KF_Kalotermes_flavicollis 	 20140314-5_Kalotermes_hilli 	0.06	0.07	86.29	6.57	0.02	0.04	0.08	6.04	0.01	0.83
182	 Para-TE_Paraneotermes_simplicicornis 	 US1268.1_Paraneotermes_simplicicornis 	0	0	0	0.13	0	0	0	99.87	0	0
183	 BO7_Comatermes_perfectus 	 COL15-21_Comatermes_perfectus 	0	0	0	100	0	0	0	0	0	0
184	 Para-TE_Paraneotermes_simplicicornis 	 COL15-21_Comatermes_perfectus 	0.01	0.01	0.07	97.92	0	0	0	1.98	0	0
185	 G13-135_Calcaritermes_sp. 	 FG17-7_Calcaritermes_sp. 	0	0	0	100	0	0	0	0	0	0
186	 HN251_0_Calcaritermes_emarginicollis 	 PN959_0_Calcaritermes_brevicollis 	0	0	0	100	0	0	0	0	0	0
187	 FL4667_0_Calcaritermes_nearcticus 	 PN959_0_Calcaritermes_brevicollis 	0	0	0	99.94	0	0	0	0.05	0	0
188	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 PN959_0_Calcaritermes_brevicollis 	0	0	0	100	0	0	0	0	0	0
189	 G13-135_Calcaritermes_sp. 	 PN959_0_Calcaritermes_brevicollis 	0	0	0	100	0	0	0	0	0	0
190	 PN1380_0_Calcaritermes_nigriceps 	 PN959_0_Calcaritermes_brevicollis 	0	0	0	100	0	0	0	0	0	0
191	 COL17-26_UNIDENTIFIED_UNIDENTIFIED 	 PN959_0_Calcaritermes_brevicollis 	0	0	0	100	0	0	0	0	0	0
192	 GP17-04_Glyptotermes_sp. 	 FG17-12_Glyptotermes_perparvus 	0	0	0	100	0	0	0	0	0	0
193	 COL15-20_Glyptotermes_sp. 	 FG17-12_Glyptotermes_perparvus 	0	0	0	100	0	0	0	0	0	0
194	 KP026263_Glyptotermes_sp. 	 FG17-12_Glyptotermes_perparvus 	0	0	0	100	0	0	0	0	0	0
195	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
196	 THAI108_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
197	 CHI15-157_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
198	 THAI114_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
199	 NG21_Glyptotermes_sp. 	 SantoT_089_Glyptotermes_sp. 	0	0.07	0	0	99.93	0	0	0	0	0
200	 phi49_Glyptotermes_sp. 	 phi38_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
201	 phi37_Glyptotermes_sp. 	 phi38_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
202	 KP026301_Glyptotermes_sp. 	 phi38_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
203	 Glypto1_Glyptotermes_fuscus 	 phi38_Glyptotermes_sp. 	0	99.95	0	0	0	0	0	0	0.03	0
204	 NG21_Glyptotermes_sp. 	 phi38_Glyptotermes_sp. 	0	99.79	0.01	0.01	0.17	0	0	0.01	0.01	0
205	 THAI031_Glyptotermes_sp. 	 phi38_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
206	 THAI114_Glyptotermes_sp. 	 phi38_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
207	 Cam17-PG-1-TA_Glyptotermes_sp. 	 Cam16-42_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
208	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
209	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	100	0	0	0	0	0	0	0	0	0
210	 Cam17-PG-1-TA_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	99.96	0	0	0.04	0	0	0	0	0	0
211	 FG-ND2-12_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	19.83	5.33	0.06	74.72	0.01	0.02	0	0.03	0	0
212	 THAI112_Glyptotermes_sp. 	 CHI15-66_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
213	 CHI15-24_Glyptotermes_sp. 	 CHI15-66_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
214	 CHI15-117_Glyptotermes_sp. 	 CHI15-66_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
215	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	0	100	0	0	0	0	0	0	0	0
216	 AUS109_Glyptotermes_sp. 	 AUS101_Glyptotermes_nr.irridipenis 	0	0	99.99	0	0	0	0	0	0	0
217	 KP026257_Glyptotermes_satsumensis 	 AUS101_Glyptotermes_nr.irridipenis 	0.08	58.25	34.16	0.21	0.02	0.06	0	0.15	7.05	0
218	 CHI15-75_Glyptotermes_sp. 	 AUS101_Glyptotermes_nr.irridipenis 	0	99.97	0.02	0	0	0	0	0	0	0
219	 KP026300_Glyptotermes_sp. 	 AUS101_Glyptotermes_nr.irridipenis 	0	100	0	0	0	0	0	0	0	0
220	 CHI15-117_Glyptotermes_sp. 	 AUS101_Glyptotermes_nr.irridipenis 	0	100	0	0	0	0	0	0	0	0
221	 FG-ND2-12_Glyptotermes_sp. 	 AUS101_Glyptotermes_nr.irridipenis 	0.69	91.3	0.03	7.95	0	0.01	0	0.02	0	0
222	 THAI114_Glyptotermes_sp. 	 AUS101_Glyptotermes_nr.irridipenis 	0.02	96.16	0.01	3.8	0	0	0	0.01	0	0
223	 KP026263_Glyptotermes_sp. 	 AUS101_Glyptotermes_nr.irridipenis 	0	0.92	0.01	99.06	0	0	0	0.01	0	0
224	 COL17-26_UNIDENTIFIED_UNIDENTIFIED 	 AUS101_Glyptotermes_nr.irridipenis 	0	0	0	100	0	0	0	0	0	0
225	 GUA483_Rugitermes_unicolor 	 E17-RS-34-2-TR_Rugitermes_sp. 	0	0	0	100	0	0	0	0	0	0
226	 PU998_0_Rugitermes_aridus 	 E17-RS-34-2-TR_Rugitermes_sp. 	0	0	0	100	0	0	0	0	0	0
227	 EC1466_0_Rugitermes_laticollis 	 E17-RS-34-2-TR_Rugitermes_sp. 	0	0	0	100	0	0	0	0	0	0
228	 KP026284_Rugitermes_sp. 	 E17-RS-34-2-TR_Rugitermes_sp. 	0	0	0	100	0	0	0	0	0	0
229	 MAD15-18_Postelectrotermes_sp. 	 MAD15-14_Postelectrotermes_sp. 	0	0	0	0	0	100	0	0	0	0
230	 MAD15-10_Postelectrotermes_sp. 	 MAD15-14_Postelectrotermes_sp. 	0	0	0	0	0	100	0	0	0	0
231	 MAD15-157_UNIDENTIFIED_UNIDENTIFIED 	 MAD15-14_Postelectrotermes_sp. 	0	0	0	0	0	100	0	0	0	0
232	 MAD19-11_Postelectrotermes_sp. 	 MAD19-90_UNIDENTIFIED_UNIDENTIFIED 	0	0	0	0	0	100	0	0	0	0
233	 MAD19-16_UNIDENTIFIED_UNIDENTIFIED 	 MAD19-90_UNIDENTIFIED_UNIDENTIFIED 	0	0	0	0	0	100	0	0	0	0
234	 MAD19-118_Postelectrotermes_sp. 	 MAD19-117_Postelectrotermes_sp. 	0	0	0	0	0	100	0	0	0	0
235	 MAD19-106_Glyptotermes_sp. 	 MAD19-117_Postelectrotermes_sp. 	0	0	0	0	0	100	0	0	0	0
236	 MAD15-171_Postelectrotermes_sp. 	 MAD19-117_Postelectrotermes_sp. 	0	0	0	0	0	100	0	0	0	0
237	 MAD19-16_UNIDENTIFIED_UNIDENTIFIED 	 MAD19-117_Postelectrotermes_sp. 	0	0	0	0	0	100	0	0	0	0
238	 MAD15-15_UNIDENTIFIED_UNIDENTIFIED 	 MAD19-117_Postelectrotermes_sp. 	0	0	0	0	0	100	0	0	0	0
239	 MAD15-157_UNIDENTIFIED_UNIDENTIFIED 	 MAD19-117_Postelectrotermes_sp. 	0	0	0	0.07	0	99.93	0	0	0	0
240	 KP026284_Rugitermes_sp. 	 MAD19-117_Postelectrotermes_sp. 	0	0	0.01	99.15	0	0.84	0	0	0	0
241	 KE15-10_Neotermes_cf.meruensis 	 MAD15-108_UNIDENTIFIED_UNIDENTIFIED 	21.1	0.05	0.15	62.61	0.01	15.98	0	0.08	0.01	0
242	 FG-ND2-2_Neotermes_sp. 	 MAD15-108_UNIDENTIFIED_UNIDENTIFIED 	0.02	0	0.01	99.96	0	0.01	0	0	0	0
243	 PA827_Neotermes_fulvescens 	 MAD15-108_UNIDENTIFIED_UNIDENTIFIED 	0	0	0	100	0	0	0	0	0	0
244	 SING74_Neotermes_sp. 	 CHI15-14_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
245	 AUS91_Neotermes_sp. 	 AUS96_Neotermes_sp. 	0	0	100	0	0	0	0	0	0	0
246	 AUS102_Neotermes_insularis_c.f.malandensis 	 AUS96_Neotermes_sp. 	0	0	100	0	0	0	0	0	0	0
247	 AUS70_Neotermes_insularis 	 AUS96_Neotermes_sp. 	0	0.12	99.87	0	0	0	0	0	0	0
248	 phi10_Neotermes_sp. 	 phi12_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
249	 phi47_Neotermes_sp. 	 phi12_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
250	 phi17-2_Neotermes_sp. 	 phi6_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
251	 phi86_Neotermes_sp. 	 phi81_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
252	 phi72-2_Neotermes_sp. 	 phi73_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
253	 phi76_Neotermes_sp. 	 phi73_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
254	 phi86_Neotermes_sp. 	 phi73_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
255	 phi17-2_Neotermes_sp. 	 phi73_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
256	 phi47_Neotermes_sp. 	 phi73_Neotermes_sp. 	0	100	0	0	0	0	0	0	0	0
257	 AUS70_Neotermes_insularis 	 phi73_Neotermes_sp. 	0.01	97.94	1.92	0.1	0	0.01	0	0.01	0	0
258	 SING74_Neotermes_sp. 	 phi73_Neotermes_sp. 	0	99.71	0.04	0.25	0	0	0	0	0	0
259	 FG16-11_Neotermes_nr.kartaboensis 	 phi73_Neotermes_sp. 	0	1.2	0.03	98.76	0	0	0	0	0	0
260	 PA827_Neotermes_fulvescens 	 phi73_Neotermes_sp. 	0	0.01	0	99.99	0	0	0	0	0	0
261	 PA942_Tauritermes_triceromegas 	 PA943_Tauritermes_triceromegas 	0	0	0	100	0	0	0	0	0	0
262	 VZ1180_Proneotermes_latifrons 	 PA943_Tauritermes_triceromegas 	0	0	0	100	0	0	0	0	0	0
263	 FG17-32_Eucryptotermes_n.sp.nr.breviceps 	 PA943_Tauritermes_triceromegas 	0	0	0	100	0	0	0	0	0	0
264	 Marg-RS_Marginitermes_hubbardi 	 HN563_Marginitermes_cactiphagus 	0.01	0.01	0.03	10.76	0	0	0	89.18	0	0
265	 US622_Pterotermes_occidentis 	 Ptero-TE_Pterotermes_occidentis 	0	0	0	0	0	0	0	100	0	0
266	 IA_Incisitermes_minor 	 IM_Incisitermes_minor 	0	0	0	0	0	0	0	100	0	0
267	 US622_Pterotermes_occidentis 	 IM_Incisitermes_minor 	0	0	0	0	0	0	0	100	0	0
268	 Marg-RS_Marginitermes_hubbardi 	 IM_Incisitermes_minor 	0.04	0	0.03	4.28	0	0	0	95.64	0	0
269	 JX144933_Bifiditermes_sp. 	 KE15-30_Bifiditermes_mutubae 	96.11	0.02	3.56	0.21	0	0.01	0	0.08	0	0
270	 MAD19_7R_Allotermes_sp. 	 MAD19-96_Allotermes_cf.paradoxus 	0	0	0	0	0	100	0	0	0	0
271	 KP026299_UNIDENTIFIED_UNIDENTIFIED 	 MAD19-96_Allotermes_cf.paradoxus 	19.78	30.92	0.23	0.21	0.02	48.67	0	0.15	0.01	0
272	 KE15-138_Epicalotermes_aethiopicus 	 NAM16_PG012TR_Epicalotermes_sp. 	100	0	0	0	0	0	0	0	0	0
273	 NAM16_PG037TR_Epicalotermes_sp. 	 NAM16_PG012TR_Epicalotermes_sp. 	100	0	0	0	0	0	0	0	0	0
274	 MAD15-2_Bifiditermes_sp.nr.madagascariensis 	 MAD15-55_Bifiditermes_sp.nr.madagascariensis 	0	0	0	0	0	100	0	0	0	0
