node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
152 	 AF189089_Ceratokalotermes_spoliator 	 AUS89_Kalotermes_sp. 	 0.00 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
153 	 20140314-5_Kalotermes_hilli 	 AUS89_Kalotermes_sp. 	 0.01 	 0.01 	 99.91 	 0.01 	 0.01 	 0.01 	 0.01 	 0.02 	 0.01 	 0.02
154 	 FL901_0_Kalotermes_approximatus 	 KF_Kalotermes_flavicollis 	 0.57 	 0.59 	 4.66 	 0.75 	 0.57 	 0.57 	 1.25 	 43.87 	 0.79 	 46.37
155 	 20140314-5_Kalotermes_hilli 	 KF_Kalotermes_flavicollis 	 0.72 	 0.95 	 67.73 	 4.50 	 0.72 	 0.73 	 2.56 	 11.21 	 0.81 	 10.06
156 	 AUS101_Glyptotermes_nr.irridipenis 	 AUS109_Glyptotermes_sp. 	 0.01 	 2.96 	 96.98 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
157 	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	 0.00 	 99.98 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
158 	 AUS101_Glyptotermes_nr.irridipenis 	 CHI15-80_Glyptotermes_sp. 	 0.06 	 98.73 	 0.95 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02 	 0.12 	 0.02
159 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026257_Glyptotermes_satsumensis 	 0.13 	 97.44 	 0.28 	 0.04 	 0.04 	 0.04 	 0.04 	 0.05 	 1.92 	 0.04
160 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026300_Glyptotermes_sp. 	 0.04 	 99.89 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.04 	 0.00
161 	 CHI15-117_Glyptotermes_sp. 	 CHI15-24_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
162 	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
163 	 CHI15-117_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.01 	 99.98 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
164 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI112_Glyptotermes_sp. 	 0.22 	 99.70 	 0.01 	 0.03 	 0.00 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
165 	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
166 	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
167 	 Cam16-44_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
168 	 Cam16-42_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
169 	 Cam16-40_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 99.73 	 0.13 	 0.01 	 0.06 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
170 	 Cam16-40_Glyptotermes_sp. 	 FG-ND2-12_Glyptotermes_sp. 	 16.88 	 57.94 	 0.35 	 23.32 	 0.25 	 0.25 	 0.25 	 0.25 	 0.26 	 0.25
171 	 AUS101_Glyptotermes_nr.irridipenis 	 FG-ND2-12_Glyptotermes_sp. 	 0.48 	 98.39 	 0.04 	 0.91 	 0.03 	 0.03 	 0.03 	 0.03 	 0.04 	 0.03
172 	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
173 	 CHI15-85_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
174 	 CHI15-157_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
175 	 CHI15-157_Glyptotermes_sp. 	 THAI114_Glyptotermes_sp. 	 0.01 	 99.98 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
176 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI114_Glyptotermes_sp. 	 0.09 	 99.19 	 0.02 	 0.59 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02
177 	 phi38_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
178 	 phi37_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
179 	 KP026301_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.01 	 99.94 	 0.00 	 0.00 	 0.01 	 0.00 	 0.00 	 0.00 	 0.02 	 0.00
180 	 Glypto1_Glyptotermes_fuscus 	 phi49_Glyptotermes_sp. 	 0.10 	 96.93 	 0.06 	 0.08 	 0.31 	 0.06 	 0.06 	 0.07 	 2.26 	 0.06
181 	 NG21_Glyptotermes_sp. 	 SantoT_089_Glyptotermes_sp. 	 0.01 	 0.89 	 0.01 	 0.03 	 99.03 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
182 	 Glypto1_Glyptotermes_fuscus 	 SantoT_089_Glyptotermes_sp. 	 0.10 	 95.10 	 0.08 	 0.29 	 3.57 	 0.08 	 0.08 	 0.08 	 0.53 	 0.08
183 	 Glypto1_Glyptotermes_fuscus 	 THAI031_Glyptotermes_sp. 	 0.03 	 99.14 	 0.02 	 0.40 	 0.25 	 0.02 	 0.02 	 0.02 	 0.06 	 0.02
184 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI031_Glyptotermes_sp. 	 0.10 	 87.34 	 0.03 	 12.29 	 0.07 	 0.03 	 0.03 	 0.03 	 0.04 	 0.03
185 	 AUS101_Glyptotermes_nr.irridipenis 	 FG17-12_Glyptotermes_perparvus 	 0.01 	 0.37 	 0.02 	 99.52 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
186 	 FL4667_0_Calcaritermes_nearcticus 	 HN251_0_Calcaritermes_emarginicollis 	 0.00 	 0.00 	 0.01 	 99.90 	 0.00 	 0.00 	 0.01 	 0.06 	 0.00 	 0.00
187 	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 HN251_0_Calcaritermes_emarginicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
188 	 FG17-7_Calcaritermes_sp. 	 G13-135_Calcaritermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
189 	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 G13-135_Calcaritermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
190 	 AUS101_Glyptotermes_nr.irridipenis 	 G13-135_Calcaritermes_sp. 	 0.00 	 0.01 	 0.00 	 99.97 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
191 	 AUS91_Neotermes_sp. 	 AUS96_Neotermes_sp. 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
192 	 AUS102_Neotermes_insularis_c.f.malandensis 	 AUS96_Neotermes_sp. 	 0.00 	 0.01 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
193 	 AUS102_Neotermes_insularis_c.f.malandensis 	 AUS70_Neotermes_insularis 	 0.01 	 1.56 	 98.37 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
194 	 phi10_Neotermes_sp. 	 phi12_Neotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
195 	 phi10_Neotermes_sp. 	 phi47_Neotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
196 	 phi17-2_Neotermes_sp. 	 phi6_Neotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
197 	 phi72-2_Neotermes_sp. 	 phi73_Neotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
198 	 phi72-2_Neotermes_sp. 	 phi76_Neotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
199 	 phi81_Neotermes_sp. 	 phi86_Neotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
200 	 phi72-2_Neotermes_sp. 	 phi86_Neotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
201 	 phi17-2_Neotermes_sp. 	 phi86_Neotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
202 	 phi10_Neotermes_sp. 	 phi86_Neotermes_sp. 	 0.01 	 99.96 	 0.02 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
203 	 AUS102_Neotermes_insularis_c.f.malandensis 	 phi86_Neotermes_sp. 	 0.09 	 96.27 	 3.06 	 0.20 	 0.06 	 0.06 	 0.06 	 0.06 	 0.06 	 0.06
204 	 CHI15-14_Neotermes_sp. 	 SING74_Neotermes_sp. 	 0.01 	 99.97 	 0.00 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
205 	 AUS102_Neotermes_insularis_c.f.malandensis 	 SING74_Neotermes_sp. 	 0.16 	 94.97 	 0.55 	 4.07 	 0.04 	 0.05 	 0.04 	 0.04 	 0.04 	 0.04
206 	 AUS102_Neotermes_insularis_c.f.malandensis 	 FG16-11_Neotermes_nr.kartaboensis 	 0.32 	 3.33 	 0.36 	 95.47 	 0.07 	 0.16 	 0.07 	 0.08 	 0.07 	 0.07
207 	 KE15-10_Neotermes_cf.meruensis 	 MAD15-108_UNIDENTIFIED_ 	 18.82 	 0.67 	 0.51 	 40.53 	 0.67 	 37.28 	 0.38 	 0.39 	 0.38 	 0.37
208 	 AUS102_Neotermes_insularis_c.f.malandensis 	 MAD15-108_UNIDENTIFIED_ 	 0.37 	 0.31 	 0.13 	 98.37 	 0.06 	 0.52 	 0.06 	 0.06 	 0.06 	 0.06
209 	 AUS110_Cryptotermes_sp. 	 AUS117_Cryptotermes_n.sp. 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
210 	 AUS110_Cryptotermes_sp. 	 CRYPRIMUS_Cryptotermes_primus 	 0.00 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
211 	 CRYAUS_Cryptotermes_austrinus 	 CRYQUEEN_Cryptotermes_queenslandicus 	 0.00 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
212 	 AUS110_Cryptotermes_sp. 	 CRYQUEEN_Cryptotermes_queenslandicus 	 0.01 	 0.04 	 99.85 	 0.01 	 0.05 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
213 	 AUS110_Cryptotermes_sp. 	 SantoT_003_Cryptotermes_penaoru 	 0.48 	 7.63 	 46.10 	 0.94 	 39.15 	 3.77 	 0.48 	 0.48 	 0.48 	 0.48
214 	 MAD15-1_Cryptotermes_sp. 	 MAD15-24_Cryptotermes_sp. 	 0.01 	 0.06 	 0.06 	 0.01 	 0.12 	 99.73 	 0.01 	 0.01 	 0.01 	 0.01
215 	 AUS110_Cryptotermes_sp. 	 MAD15-24_Cryptotermes_sp. 	 0.45 	 21.19 	 27.63 	 0.86 	 8.35 	 39.77 	 0.44 	 0.44 	 0.44 	 0.44
216 	 CAM101_Cryptotermes_havilandi 	 Cam16-41_Cryptotermes_havilandi 	 99.92 	 0.04 	 0.00 	 0.00 	 0.00 	 0.02 	 0.00 	 0.00 	 0.00 	 0.00
217 	 CAM101_Cryptotermes_havilandi 	 MAD15-40_Cryptotermes_havilandi 	 16.11 	 46.65 	 0.53 	 0.28 	 0.34 	 34.95 	 0.28 	 0.28 	 0.28 	 0.28
218 	 CRYDOMESTI_Cryptotermes_domesticus 	 MAL39_Cryptotermes_domesticus 	 0.06 	 99.66 	 0.23 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
219 	 CAM101_Cryptotermes_havilandi 	 MAL39_Cryptotermes_domesticus 	 0.35 	 99.02 	 0.26 	 0.02 	 0.02 	 0.23 	 0.02 	 0.02 	 0.02 	 0.02
220 	 CAM101_Cryptotermes_havilandi 	 MAL36_Cryptotermes_sp. 	 0.07 	 99.77 	 0.11 	 0.01 	 0.01 	 0.02 	 0.01 	 0.01 	 0.01 	 0.01
221 	 CC_Cryptotermes_cynocephalus 	 phi18_Cryptotermes_sp. 	 0.05 	 98.52 	 1.30 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02
222 	 CAM101_Cryptotermes_havilandi 	 phi18_Cryptotermes_sp. 	 0.10 	 96.91 	 2.76 	 0.04 	 0.03 	 0.09 	 0.02 	 0.02 	 0.02 	 0.02
223 	 AUS110_Cryptotermes_sp. 	 phi18_Cryptotermes_sp. 	 0.35 	 73.59 	 18.70 	 1.70 	 1.01 	 3.59 	 0.27 	 0.27 	 0.27 	 0.26
224 	 phi64_Cryptotermes_sp. 	 phi94_Cryptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
225 	 CRYDRUDDLE_Cryptotermes_dudleyi 	 phi94_Cryptotermes_sp. 	 0.02 	 98.68 	 1.19 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02
226 	 phi30_Cryptotermes_sp. 	 phi59_Cryptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
227 	 phi30_Cryptotermes_sp. 	 phi78_Cryptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
228 	 phi30_Cryptotermes_sp. 	 phi45_Cryptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
229 	 CRYDRUDDLE_Cryptotermes_dudleyi 	 phi45_Cryptotermes_sp. 	 0.01 	 99.87 	 0.10 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
230 	 CRYDRUDDLE_Cryptotermes_dudleyi 	 phi54_Cryptotermes_sp. 	 0.02 	 99.55 	 0.38 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
