node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
175 	 ISR6_Longicaputermes_sinaicus 	 ISR10_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
176 	 ISR4_Longicaputermes_sinaicus 	 ISR10_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
177 	 ISR9_Longicaputermes_sinaicus 	 ISR11_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
178 	 ISR5_Longicaputermes_sinaicus 	 ISR11_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
179 	 ISR4_Longicaputermes_sinaicus 	 ISR11_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
180 	 IRAN4A_UNDESCRIBED_ 	 ISR11_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
181 	 FL901_0_Kalotermes_approximatus 	 KF_Kalotermes_flavicollis 	 0.05 	 0.06 	 19.87 	 1.16 	 0.02 	 0.04 	 0.00 	 76.30 	 0.01 	 2.49
182 	 AUS89_Kalotermes_sp. 	 AF189089_Ceratokalotermes_spoliator 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
183 	 20140314-5_Kalotermes_hilli 	 AF189089_Ceratokalotermes_spoliator 	 0.00 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00 	 0.00
184 	 FL901_0_Kalotermes_approximatus 	 AF189089_Ceratokalotermes_spoliator 	 0.03 	 0.04 	 81.52 	 7.15 	 0.01 	 0.03 	 0.02 	 11.12 	 0.01 	 0.08
185 	 BO7_Comatermes_perfectus 	 COL15-21_Comatermes_perfectus 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
186 	 US1268.1_Paraneotermes_simplicicornis 	 Para-TE_Paraneotermes_simplicicornis 	 0.00 	 0.00 	 0.00 	 0.11 	 0.00 	 0.00 	 0.00 	 99.89 	 0.00 	 0.00
187 	 BO7_Comatermes_perfectus 	 Para-TE_Paraneotermes_simplicicornis 	 0.00 	 0.00 	 0.05 	 97.44 	 0.00 	 0.00 	 0.00 	 2.50 	 0.00 	 0.00
188 	 G13-135_Calcaritermes_sp. 	 FG17-7_Calcaritermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
189 	 HN251_0_Calcaritermes_emarginicollis 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
190 	 FL4667_0_Calcaritermes_nearcticus 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.01 	 99.92 	 0.00 	 0.00 	 0.00 	 0.07 	 0.00 	 0.00
191 	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
192 	 G13-135_Calcaritermes_sp. 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
193 	 PN1380_0_Calcaritermes_nigriceps 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
194 	 COL17-26_UNDESCRIBED_ 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
195 	 GP17-04_Glyptotermes_sp. 	 FG17-12_Glyptotermes_perparvus 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
196 	 COL15-20_Glyptotermes_sp. 	 FG17-12_Glyptotermes_perparvus 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
197 	 KP026263_Glyptotermes_sp. 	 FG17-12_Glyptotermes_perparvus 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
198 	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
199 	 THAI108_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
200 	 CHI15-157_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
201 	 THAI114_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
202 	 NG21_Glyptotermes_sp. 	 SantoT_089_Glyptotermes_sp. 	 0.00 	 0.08 	 0.00 	 0.00 	 99.92 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
203 	 phi38_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
204 	 phi37_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
205 	 KP026301_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
206 	 Glypto1_Glyptotermes_fuscus 	 phi49_Glyptotermes_sp. 	 0.00 	 99.88 	 0.01 	 0.01 	 0.01 	 0.00 	 0.00 	 0.01 	 0.08 	 0.00
207 	 NG21_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 99.47 	 0.02 	 0.01 	 0.46 	 0.00 	 0.00 	 0.03 	 0.01 	 0.00
208 	 THAI031_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
209 	 THAI114_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
210 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 Cam16-44_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
211 	 Cam16-42_Glyptotermes_sp. 	 Cam16-44_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
212 	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
213 	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
214 	 Cam16-42_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	 99.98 	 0.00 	 0.00 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
215 	 FG-ND2-12_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	 32.33 	 12.09 	 0.14 	 55.38 	 0.00 	 0.01 	 0.00 	 0.05 	 0.00 	 0.00
216 	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
217 	 CHI15-24_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
218 	 CHI15-117_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
219 	 CHI15-80_Glyptotermes_sp. 	 CHI15-75_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
220 	 AUS109_Glyptotermes_sp. 	 AUS101_Glyptotermes_nr.irridipenis 	 0.00 	 0.78 	 99.21 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
221 	 CHI15-80_Glyptotermes_sp. 	 AUS101_Glyptotermes_nr.irridipenis 	 0.00 	 99.17 	 0.81 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
