node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
175 	 ISR6_Longicaputermes_sinaicus 	 ISR10_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	
176 	 ISR4_Longicaputermes_sinaicus 	 ISR10_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
177 	 ISR9_Longicaputermes_sinaicus 	 ISR11_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
178 	 ISR5_Longicaputermes_sinaicus 	 ISR11_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
179 	 ISR4_Longicaputermes_sinaicus 	 ISR11_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
180 	 IRAN4A_UNDESCRIBED_ 	 ISR11_Longicaputermes_sinaicus 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00
181 	 FL901_0_Kalotermes_approximatus 	 KF_Kalotermes_flavicollis 	 0.11 	 0.15 	 33.11 	 2.57 	 0.04 	 0.11 	 0.01 	 54.64 	 0.02 	 9.23
182 	 AUS89_Kalotermes_sp. 	 AF189089_Ceratokalotermes_spoliator 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
183 	 20140314-5_Kalotermes_hilli 	 AF189089_Ceratokalotermes_spoliator 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
184 	 FL901_0_Kalotermes_approximatus 	 AF189089_Ceratokalotermes_spoliator 	 0.02 	 0.03 	 88.37 	 5.43 	 0.01 	 0.02 	 0.03 	 5.61 	 0.00 	 0.47
185 	 BO7_Comatermes_perfectus 	 COL15-21_Comatermes_perfectus 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
186 	 US1268.1_Paraneotermes_simplicicornis 	 Para-TE_Paraneotermes_simplicicornis 	 0.00 	 0.00 	 0.00 	 0.29 	 0.00 	 0.00 	 0.00 	 99.70 	 0.00 	 0.00
187 	 BO7_Comatermes_perfectus 	 Para-TE_Paraneotermes_simplicicornis 	 0.01 	 0.01 	 0.09 	 97.31 	 0.00 	 0.00 	 0.00 	 2.58 	 0.00 	 0.00
188 	 G13-135_Calcaritermes_sp. 	 FG17-7_Calcaritermes_sp. 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
189 	 HN251_0_Calcaritermes_emarginicollis 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
190 	 FL4667_0_Calcaritermes_nearcticus 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 99.89 	 0.00 	 0.00 	 0.00 	 0.10 	 0.00 	 0.00
191 	 E17-RS-20-1-TR_Calcaritermes_cf.nigriceps 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
192 	 G13-135_Calcaritermes_sp. 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
193 	 PN1380_0_Calcaritermes_nigriceps 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
194 	 COL17-26_UNDESCRIBED_ 	 PN959_0_Calcaritermes_brevicollis 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
195 	 GP17-04_Glyptotermes_sp. 	 FG17-12_Glyptotermes_perparvus 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
196 	 COL15-20_Glyptotermes_sp. 	 FG17-12_Glyptotermes_perparvus 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
197 	 KP026263_Glyptotermes_sp. 	 FG17-12_Glyptotermes_perparvus 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
198 	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
199 	 THAI108_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
200 	 CHI15-157_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
201 	 THAI114_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
